,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
141,"Goodbyes (Feat. Young Thug)","Post Malone",3512,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
142,"Les gens disent",Maes,3510,https://open.spotify.com/track/7vuDhgmouJEaGsvqBllrzr
143,Mémoire,Maes,3483,https://open.spotify.com/track/6KKVQRfk2pRAXrOt08SfpL
144,"Yellow Hearts","Ant Saunders",3455,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
145,Circles,"Mac Miller",3421,https://open.spotify.com/track/4jXl6VtkFFKIt3ycUQc5LT
146,"Hoji N'ka ta Rola","Julinho Ksd",3387,https://open.spotify.com/track/3EtXiDhRO8psTWs2uY8nyA
147,"Eastside (with Halsey & Khalid)","benny blanco",3381,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
148,"It's You","Ali Gatie",3354,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
149,"Be Alright","Dean Lewis",3345,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
150,"7 rings","Ariana Grande",3325,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
151,Castles,"Freya Ridings",3315,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
152,Sucker,"Jonas Brothers",3305,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
153,Maschine,"RAF Camora",3285,https://open.spotify.com/track/0C6NMPWYqsLIuuYSNP8KqE
154,China,"Anuel AA",3264,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
155,Unstoppable,Sia,3263,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
156,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",Eminem,3247,https://open.spotify.com/track/3CJbxqRQ0JNCqboWDNUUeX
157,Alien,RIN,3211,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
158,"Bohemian Rhapsody - 2011 Mix",Queen,3208,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
159,"RR 9.1","Koba LaD",3202,https://open.spotify.com/track/28fP6qcMGPfYOjrx8AOWFn
160,"Loin de moi",Naza,3198,https://open.spotify.com/track/30kxl4FnaEFS2qZkec3Zak
161,Robbery,"Juice WRLD",3190,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
162,"rockstar (feat. 21 Savage)","Post Malone",3188,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
163,Torn,"Ava Max",3182,https://open.spotify.com/track/2GdxQw8NwoeH8tKySg6nym
164,"Hate Me (with Juice WRLD)","Ellie Goulding",3181,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
165,"A côté de moi",Maes,3147,https://open.spotify.com/track/5S7RVfMKBkikdfObKHwI2e
166,"Can We Kiss Forever?",Kina,3135,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
167,"God Bless (feat. Damso)",Hamza,3131,https://open.spotify.com/track/2oT2g4vkjRaFOcUtdOf9eg
168,"Money In The Grave (Drake ft. Rick Ross)",Drake,3125,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
169,"Ma belle","Moha La Squale",3104,https://open.spotify.com/track/3Aq1SJ1hWlfazx8IIC6u1D
170,SAD!,XXXTENTACION,3093,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
171,"Au DD",PNL,3071,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu
172,Happier,Marshmello,3061,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
173,goosebumps,"Travis Scott",3056,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
174,"Dancing With A Stranger (with Normani)","Sam Smith",3049,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
175,Hauseingang,Pashanim,3048,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ
176,"Stack It Up (feat. A Boogie Wit da Hoodie)","Liam Payne",3018,https://open.spotify.com/track/24LAeSVSHgnbvSsmgjBqZW
177,"500 PS","Bonez MC",3003,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
178,Orphans,Coldplay,3000,https://open.spotify.com/track/03T4ttRCiLXST6MZjeMwmR
179,"Shape of You","Ed Sheeran",2999,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
180,Chromé,Maes,2997,https://open.spotify.com/track/2ac7X8C4qYWtNeu0RhkFZr
181,"I Can See","Mac Miller",2997,https://open.spotify.com/track/3R8CyhJfVjvgIROd5RSGhQ
182,Rata,"Deejay Telio",2991,https://open.spotify.com/track/1AZZ51VoQb3Ujv3Mtp6YeW
183,Woah,"Lil Baby",2990,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
184,Etoile,Maes,2986,https://open.spotify.com/track/3U0yYPdyHy4jJ0igQ2g78R
185,"SOS (feat. Aloe Blacc)",Avicii,2971,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
