,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
172,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",10747,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
173,"Devil Eyes","Hippie Sabotage",10725,https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
174,"Show & Tell","Melanie Martinez",10721,https://open.spotify.com/track/7po7c8LzxTZ0ybU41qT5gD
175,Turbofin,"Grasu XXL",10720,https://open.spotify.com/track/7oqsMG0ZZSyINZ8f95fJCn
176,"Get You The Moon (feat. Snøw)",Kina,10659,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
177,"Solo (feat. Demi Lovato)","Clean Bandit",10622,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
178,"I'm a Mess","Bebe Rexha",10549,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
179,"Doin' Time","Lana Del Rey",10524,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX
180,"Hate Me (with Juice WRLD)","Ellie Goulding",10512,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
181,Placebo,Ian,10484,https://open.spotify.com/track/5S8PdUbfh7fRJ1AD0AGHgS
182,Evantai,Ian,10480,https://open.spotify.com/track/2w9xAC4Bcle9H4jNARL57U
183,Slayer,Ian,10417,https://open.spotify.com/track/5t6egUawWRSSvFhVjuPacK
184,"Boy With Luv (feat. Halsey)",BTS,10338,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
185,"Wild West","Dennis Lloyd",10314,https://open.spotify.com/track/3UqQUExRt3YlS4PNo5Thtq
186,Thunder,"Imagine Dragons",10307,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
187,Molly,Azteca,10281,https://open.spotify.com/track/7Arj9OgC0DIIQtG4JLObqi
188,"You Need To Calm Down","Taylor Swift",10280,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
189,"Going Bad (feat. Drake)","Meek Mill",10278,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
190,"In My Mind",Dynoro,10241,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
191,Luna,"Carla's Dreams",10240,https://open.spotify.com/track/5Ck4zhYkBRelKGPQDrmhN1
192,"Kiss and Make Up","Dua Lipa",10173,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
193,Nonstop,Drake,10109,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
194,STARGAZING,"Travis Scott",10082,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
195,"Happy Now",Kygo,10070,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
196,Tutu,Camilo,10023,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
197,Suge,DaBaby,9897,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
198,"Clout (feat. Cardi B)",Offset,9893,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
199,Pozne,Ian,9861,https://open.spotify.com/track/3lEv1UtkM6PhpZ3hTkLKPj
200,"Good as Hell",Lizzo,9860,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
