,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
178,"We Don't Care",Sigala,3316,https://open.spotify.com/track/59D6pNWyn8UXPpos5fbAqm
179,"In My Blood","Shawn Mendes",3306,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
180,Mine,Bazzi,3293,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
181,Stay,"Post Malone",3284,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
182,"Finest Hour (feat. Abir)","Cash Cash",3260,https://open.spotify.com/track/0p0ljM6RxgpGt7wthGqBZa
183,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,3251,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
184,Maalt,"Küberünnak & Karmo",3251,https://open.spotify.com/track/3LyRi9fQfyjYu5vwX7Ujh2
185,Bloom,"Troye Sivan",3228,https://open.spotify.com/track/0heVTeZw99vJl4QyJC0wyk
186,Silence,Marshmello,3228,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
187,MANTRA,"Bring Me The Horizon",3210,https://open.spotify.com/track/7dRj3sTBYkNbEx5kdNHriv
188,"Люби меня","MiyaGi & Endspiel",3207,https://open.spotify.com/track/0r5Nq9NExhHRcApKfFUBzk
189,"Let You Down",NF,3194,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
190,"Benz Truck (гелик)","Lil Peep",3181,https://open.spotify.com/track/3kBD2xHIqKWXjLAGidDTSz
191,Audio,Sia,3178,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
192,"This Is America","Childish Gambino",3161,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
193,OTW,Khalid,3159,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
194,BEBE,6ix9ine,3158,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
195,Move,NOËP,3138,https://open.spotify.com/track/4cVzPbPsYsfQD5JLszLoV6
196,Closer,"The Chainsmokers",3135,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
197,Betrayed,"Lil Xan",3117,https://open.spotify.com/track/4vaxvNDaLSoD36iZX515ug
198,"Vaina Loca",Ozuna,3113,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
199,JAPAN,"Famous Dex",3099,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
200,Karussell,5MIINUST,3097,https://open.spotify.com/track/4gdVoEL9ycWUgpILTp6rBW
