,country,date,stringency
524,SVN,2020-01-20,0.0
525,SVK,2020-01-20,0.0
526,PRT,2020-01-20,0.0
527,POL,2020-01-20,0.0
528,LVA,2020-01-20,0.0
529,HUN,2020-01-20,0.0
530,CYP,2020-01-20,0.0
531,BGR,2020-01-20,0.0
532,LUX,2020-01-20,0.0
533,LTU,2020-01-20,0.0
534,ITA,2020-01-20,0.0
535,IRL,2020-01-20,0.0
536,HRV,2020-01-20,0.0
537,GRC,2020-01-20,0.0
538,GBR,2020-01-20,5.56
539,FRA,2020-01-20,0.0
540,NLD,2020-01-21,0.0
541,ROU,2020-01-21,0.0
542,SWE,2020-01-21,0.0
543,AUT,2020-01-21,0.0
544,BEL,2020-01-21,0.0
545,CZE,2020-01-21,0.0
546,DEU,2020-01-21,0.0
547,DNK,2020-01-21,0.0
548,ESP,2020-01-21,0.0
549,EST,2020-01-21,0.0
550,FIN,2020-01-21,0.0
551,BGR,2020-01-21,0.0
552,CYP,2020-01-21,0.0
553,HUN,2020-01-21,0.0
554,LVA,2020-01-21,0.0
555,POL,2020-01-21,0.0
556,PRT,2020-01-21,0.0
557,SVK,2020-01-21,0.0
558,SVN,2020-01-21,0.0
559,FRA,2020-01-21,0.0
560,GBR,2020-01-21,5.56
561,GRC,2020-01-21,0.0
562,HRV,2020-01-21,0.0
563,IRL,2020-01-21,0.0
564,ITA,2020-01-21,0.0
565,LTU,2020-01-21,0.0
566,LUX,2020-01-21,0.0
567,SWE,2020-01-22,0.0
568,ROU,2020-01-22,0.0
569,NLD,2020-01-22,0.0
570,FIN,2020-01-22,0.0
571,EST,2020-01-22,0.0
572,ESP,2020-01-22,0.0
573,DNK,2020-01-22,0.0
574,DEU,2020-01-22,0.0
575,CZE,2020-01-22,0.0
576,BEL,2020-01-22,0.0
577,AUT,2020-01-22,0.0
578,SVN,2020-01-22,0.0
579,SVK,2020-01-22,0.0
580,PRT,2020-01-22,0.0
581,POL,2020-01-22,0.0
582,LVA,2020-01-22,0.0
583,HUN,2020-01-22,0.0
584,CYP,2020-01-22,0.0
585,BGR,2020-01-22,0.0
586,LUX,2020-01-22,0.0
587,LTU,2020-01-22,0.0
588,ITA,2020-01-22,0.0
589,IRL,2020-01-22,0.0
590,HRV,2020-01-22,0.0
591,GRC,2020-01-22,0.0
592,GBR,2020-01-22,5.56
593,FRA,2020-01-22,0.0
594,NLD,2020-01-23,0.0
595,ROU,2020-01-23,0.0
596,SWE,2020-01-23,0.0
597,AUT,2020-01-23,0.0
598,BEL,2020-01-23,0.0
599,CZE,2020-01-23,0.0
600,DEU,2020-01-23,0.0
601,DNK,2020-01-23,0.0
602,ESP,2020-01-23,0.0
603,EST,2020-01-23,0.0
604,FIN,2020-01-23,0.0
605,BGR,2020-01-23,0.0
606,CYP,2020-01-23,0.0
607,HUN,2020-01-23,0.0
608,LVA,2020-01-23,0.0
609,POL,2020-01-23,5.56
610,PRT,2020-01-23,0.0
611,SVK,2020-01-23,0.0
