,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
130,Imposible,"Luis Fonsi",31787,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
131,Nonstop,Drake,31160,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
132,"difference (interlude)",XXXTENTACION,30861,https://open.spotify.com/track/5itzep0nGnq7hxCfFNsTIR
133,"Look At Me!",XXXTENTACION,30805,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
134,"Do They Know It's Christmas? - 1984 Version","Band Aid",30578,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
135,"XO Tour Llif3","Lil Uzi Vert",30416,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
136,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",30341,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
137,"Lucky You (feat. Joyner Lucas)",Eminem,30235,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
138,Flames,"David Guetta",30145,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
139,Iminente,Papillon,30068,https://open.spotify.com/track/1OvhwOWke6RpZXEHzE1Bdz
140,Thunderclouds,Sia,30046,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
141,"Somebody To Love - 2011 Mix",Queen,30025,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
142,KIKA,6ix9ine,29813,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
143,"Psycho (feat. Ty Dolla $ign)","Post Malone",29807,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
144,"Shape of You","Ed Sheeran",29771,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
145,Trapstar,"LON3R JOHNY",29540,https://open.spotify.com/track/4lbVlnnG1lerScqqffnlTt
146,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",29457,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
147,"Leave Me Alone","Flipp Dinero",29328,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
148,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,29084,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
149,Thunder,"Imagine Dragons",29026,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
150,"Have Yourself A Merry Little Christmas","Sam Smith",28967,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
151,"Leave a Light On","Tom Walker",28960,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
152,Maluco,Karetus,28842,https://open.spotify.com/track/6h6rII20UySFUHiM3RPi6p
153,"Jackie Chan",Tiësto,28763,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
154,"Ella Quiere Beber - Remix","Anuel AA",28762,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
155,X,"Nicky Jam",28752,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
156,"STARING AT THE SKY",XXXTENTACION,28686,https://open.spotify.com/track/4KpKyRFwN0gcwj58Uqjv7q
157,goosebumps,"Travis Scott",28518,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
158,"Under Pressure - Remastered",Queen,28396,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
159,Downtown,Anitta,28339,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
160,"Fica Tudo Bem (feat. Anitta)",Silva,28303,https://open.spotify.com/track/3gvqZpohrsWFwGH1IoFK5b
161,"Holly Jolly Christmas","Michael Bublé",28267,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
162,"Bad Intentions",mishlawi,28264,https://open.spotify.com/track/4TWbUcmiQstzvkTyOc7J62
163,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",28223,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
164,"Santa Claus Is Coming to Town","Michael Bublé",28210,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
165,Fácil,"Holly Hood",28200,https://open.spotify.com/track/48xv7MWpMcpagWkgywOpXT
166,FRIENDS,Marshmello,28196,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
167,"Look Alive (feat. Drake)","BlocBoy JB",28184,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
168,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,27968,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
169,"In My Blood","Shawn Mendes",27824,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
170,"Water (feat. Slow J) - Single Version","Richie Campbell",27710,https://open.spotify.com/track/58dElABzeDBwfhttWGf6n1
171,Paraíso,"Diogo Piçarra",27338,https://open.spotify.com/track/4sVLQiRPPYRQ3AcPcXJSLg
172,"Sleigh Ride","The Ronettes",27133,https://open.spotify.com/track/4rERoP56GEEjKmshbphPBK
173,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,27062,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
174,"Voar (Gson)","Wet Bed Gang",26977,https://open.spotify.com/track/4VSQjXeWif1YluDDhY0eOY
175,Voltas,"Fernando Daniel",26854,https://open.spotify.com/track/3K53RODdfVk8K9yv3GCPQP
176,"Wonderwall - Remastered",Oasis,26797,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
