,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
115,"Candy Cane Lane",Sia,69804,https://open.spotify.com/track/1NfNdnuFbTgYpRG0z5bHxv
116,"Holly Jolly Christmas","Michael Bublé",69633,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
117,"Do They Know It's Christmas? - 1984 Version","Band Aid",69265,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
118,Faded,"Alan Walker",68589,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
119,"Perutaan Häät - Vain Elämää Kausi 9","Teflon Brothers",68393,https://open.spotify.com/track/6lz4EdYV6oWYdAADxOleEz
120,"Going Bad (feat. Drake)","Meek Mill",68208,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
121,"Aina ku Aira (Vain elämää kausi 9)",Ellinoora,67783,https://open.spotify.com/track/7Heo6ppyE5geqOCIbcArIl
122,"Say My Name","David Guetta",67709,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
123,"Mun sydän","Kaija Koo",67610,https://open.spotify.com/track/1wPQdWUqzqCRKjdP5zOXQy
124,"Lucky You (feat. Joyner Lucas)",Eminem,67497,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
125,"Baby (feat. MARINA & Luis Fonsi)","Clean Bandit",67360,https://open.spotify.com/track/5XWCc9wQes7X5uyYH9h5JR
126,"Yhen elämän juttu",ABREU,67251,https://open.spotify.com/track/0IXLyheDMnOQ4mmTrScjAR
127,"Eastside (with Halsey & Khalid)","benny blanco",67004,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
128,Hope,"The Chainsmokers",66917,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
129,"Happy Xmas (War Is Over) (feat. Sean Ono Lennon)","Miley Cyrus",66807,https://open.spotify.com/track/5KHzV8Gf3aweIMImliFAOs
130,"Forza Italia",Spekti,66183,https://open.spotify.com/track/7JEv9Hj3qJbFqcNqwsVMUh
131,"no tears left to cry","Ariana Grande",66030,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
132,Supervoimii,Elastinen,65881,https://open.spotify.com/track/7rehjyv0IQ0WQoB6wZRfnY
133,"It's the Most Wonderful Time of the Year","Andy Williams",65770,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
